		DA	DT	DG	DC
A	X	0.7113245925132818	0.280578892122565	0.4344444911716052	0.48491700785037084
A	Y	0.4922396103837606	0.13678206592730105	0.29580441580978983	0.46948224125583365
A	Z	0.5792276117256493	0.21926971207151488	0.2778229458654066	0.4588803479162893
C	X	0.5925213362785742	0.21523241750329616	0.7105162574373455	0.9324676214234634
C	Y	0.7213447581070788	0.4094346070336073	0.22979040728557462	0.44892553680762437
C	Z	-0.18701108174999406	-0.002798457573325412	-0.048456589106423455	0.1263573684394425
D	X	0.841795365090128	0.9085958281958096	0.7157495191879777	0.46318977878820033
D	Y	0.8867552504980065	0.8360622534629096	0.5950507296161647	0.5588562270330514
D	Z	0.7245768127530322	0.41149035824234786	0.47363022922130504	0.12524362529889232
E	X	1.3624589809892198	1.1289460297359888	1.1801404877890787	0.9393852115225473
E	Y	0.8998803517631909	0.7847953829745488	0.8453178213576168	0.7335973426334672
E	Z	0.702603224032556	0.5079736926889178	0.41787156718781093	0.2207051087197141
F	X	0.2915559964330489	-0.20324579545094493	-0.08506330474680106	0.22590727750520662
F	Y	0.056431326267645104	-0.08567131774840167	0.06207917488073785	0.2896806741283487
F	Z	0.09334405648500596	-0.34808765965426647	-0.22347358614583643	-0.14868389649311978
H	X	0.041314063483857695	-0.12808608557861653	-0.10905715478563785	0.07960171656612573
H	Y	-0.07507277219386926	-0.32964546082378304	-0.27010180683840956	-0.05561969827844009
H	Z	-0.15891925329359316	-0.2278896039623044	-0.21354993055624488	-0.058799730121644085
K	X	-0.09603852498223253	-0.19092195497063158	-0.2947562588233193	-0.17849622907835927
K	Y	-0.1713019505351649	-0.25718923165372193	-0.33088952226411744	-0.13418898737810556
K	Z	-0.23423362486963076	-0.3119592292390813	-0.4342466391431446	-0.12652942349682683
G	X	0.35885939767307995	0.0651613836795107	0.23245443326506057	0.13534481245654603
G	Y	0.17217521317378337	-0.12296871288755849	-0.058922637269375466	0.12941106368119706
G	Z	-0.23150866657028948	-0.3280682340496347	-0.39099229569756655	0.03493867622108547
I	X	0.6137139522276611	0.37715106900239587	0.6178957103729827	0.5978064261112154
I	Y	0.31809187929139815	0.22913814745656488	0.20478196866231566	0.3109461275681548
I	Z	0.007346941638856989	-0.0200343811546731	-0.18628525340304872	-0.04634644946444637
L	X	0.7158951542245497	0.37321854445542574	0.5839380933404219	0.7311059509994448
L	Y	0.6268003560407479	0.4246003721047621	0.5072760669148201	0.6673131673328597
L	Z	0.41803144205288995	0.053031910641525966	0.37746146629756683	0.6670288260996967
M	X	0.5151257239974905	-0.07048037886010303	-0.041287145074714794	0.055732797661151974
M	Y	0.2394922388799616	0.03384389457914991	0.1255467893900727	0.1662193738751223
M	Z	0.33510104177190886	-0.056687661572183065	0.1724510365296468	0.13463086867870241
N	X	0.2924148822272503	0.03732170604181653	0.10455054700565344	0.240258395932567
N	Y	-0.11797850537793875	-0.1670800723138714	-0.11956022910791259	0.06720000826427248
N	Z	-0.24401118808350108	-0.516813530758346	-0.182006524600179	-0.09131241565885512
P	X	0.36791470425450756	0.28919666903709607	0.20526469901224553	0.38851366633173345
P	Y	0.26258849391788136	0.1520809241429274	0.2995811097049761	0.4386801840578659
P	Z	1.2408458658260693	0.7350157154649053	1.1196163732010236	1.0978904720784484
Q	X	0.19046590375909492	0.2839132844267127	0.32508164232821724	0.4175276758932669
Q	Y	0.08333196719746078	-0.04554416305332925	0.09265562404498574	0.06322513509738517
Q	Z	-0.33610525177436285	-0.08961739724329389	-0.19821633537600558	-0.08354031543792967
R	X	-0.4950418453625	-0.5842391195190474	-0.6661039805705006	-0.3294267745532161
R	Y	-0.6151356249715852	-0.7103099351526192	-0.8384905677844989	-0.5033965118420185
R	Z	-0.5971026258146522	-0.7643656473553995	-0.9462535045440842	-0.6347348922193893
S	X	0.22307345618999924	0.08345835897883924	0.04817061442357505	0.31316440930449124
S	Y	0.01853179793599573	-0.2383216504901371	-0.183894307635918	-0.03335720773960548
S	Z	-0.06624582191446479	-0.25801576805816495	-0.2787004975438355	0.01902877792292227
T	X	0.19844068032189366	0.1334234121819189	0.09879896168190053	0.47741381016989154
T	Y	-0.17644563347677988	-0.2993826850126011	-0.2509452413221527	-0.12827050572721832
T	Z	-0.24822389870699127	-0.33646261547170386	-0.4380996772997554	-0.0456533513149456
V	X	0.22946158318406948	0.49976830673445266	0.39677266684671764	0.3764817076556238
V	Y	0.3759031402716017	0.20202979377558328	0.1974397931455793	0.4957828393403048
V	Z	-0.011674814874032395	0.04555713208005172	0.40058440137845464	0.542412856080726
Y	X	-0.25585266063799206	-0.3638660705608922	-0.41762334986638805	-0.17737264671190306
Y	Y	-0.19349604959938446	-0.45197866566413736	-0.4458421617671248	-0.21814693698610624
Y	Z	0.04292349788189178	-0.3253557534508276	-0.2382000335628675	-0.08991701423797893
W	X	-0.20450057678568698	-0.47959566845977275	-0.3827399024672848	-0.2545536740433176
W	Y	-0.08735676946338364	-0.26547800951295375	-0.16455162306916643	-0.018109026718434076
W	Z	0.17407628756839752	-0.6226982303260544	-0.2231600658792049	-0.4764397575580676
