C           1.9080  0.0860             same as c
C*          1.9080  0.0860             same as cc
CA          1.9080  0.0860             same as ca
CB          1.9080  0.0860             same as cc
CC          1.9080  0.0860             same as cc
CK          1.9080  0.0860             same as cc
CM          1.9080  0.0860             same as cc
CN          1.9080  0.0860
CQ          1.9080  0.0860             same as cc
CR          1.9080  0.0860             same as cc
CT          1.9080  0.1094             same as c3
CV          1.9080  0.0860
CW          1.9080  0.0860
N           1.8240  0.1700             same as n
N*          1.8240  0.1700             same as na
N2          1.8240  0.1700             same as nh
N3          1.8240  0.1700
NA          1.8240  0.1700             same as na
NB          1.8240  0.1700             same as nc
NC          1.8240  0.1700             same as nc
O           1.6612  0.2100             same as o
O2          1.6612  0.2100             same as o
OH          1.7210  0.2104             same as oh
OS          1.6837  0.1700             same as os
P           2.1000  0.2000             same as p4
S           2.0000  0.2500             same as ss
SH          2.0000  0.2500
